Planet_Name,Orbital_Period,Planet_Radius,Equilibrium_Temperature,Stellar_Temperature,Habitability_Score
Kepler-438 b,35.2330694,0.97,288.0,3749.0,0.988
Kepler-395 c,34.9897847,1.14,292.0,3765.0,0.932
Kepler-1512 b,20.35971899,0.8,276.0,3419.0,0.884
Kepler-186 e,22.40777833,1.15,319.0,3751.0,0.8470000000000001
Kepler-1126 c,199.66876,1.45,305.0,5678.0,0.7690000000000001
Kepler-442 b,112.303136,1.3,241.0,4401.0,0.7389999999999999
Kepler-1410 b,60.8660974,1.39,244.0,3808.0,0.712
Kepler-296 f,63.3354719,1.18,202.0,3526.0,0.6700000000000002
Kepler-235 e,46.1842039,1.83,273.0,3950.0,0.623
Kepler-52 d,36.4454001,1.99,332.0,4126.0,0.472
Kepler-1229 b,86.829519,1.68,196.0,3576.0,0.45200000000000007
Kepler-1649 c,19.5352551,0.53,161.0,2703.0,0.43100000000000005
Kepler-235 d,20.06036336,1.96,361.0,3950.0,0.397
Kepler-230 c,91.7732862,2.12,359.0,5586.0,0.387
Kepler-231 c,19.27153892,1.93,393.0,4077.0,0.313
Kepler-233 c,60.4189369,2.36,390.0,5354.0,0.294
Kepler-421 b,704.962626,4.53,178.0,5305.0,0.26999999999999996
Kepler-227 c,54.4183827,2.83,443.0,5455.0,0.13499999999999998
Kepler-167 e,1071.232624,9.27,129.0,4799.0,0.12299999999999997
Kepler-227 b,9.48803557,2.26,793.0,5455.0,0.0
Kepler-229 c,16.06864674,5.76,600.0,5031.0,0.0
Kepler-660 b,9.27358173,2.47,649.0,4856.0,0.0
Kepler-664 b,2.525591777,2.75,1406.0,6031.0,0.0
Kepler-228 d,11.09432054,3.9,835.0,6046.0,0.0
